"ParkName","Date","CountRaw","CountAdjusted","Species","Classification","Size","DisruptiveActivities"
"Alvin G. Beaman Park",2021-10-07,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-08,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-09,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-10,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-11,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-12,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-13,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-14,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-15,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-16,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-17,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-18,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-19,4,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-20,4,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-21,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-22,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-23,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-25,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-26,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-27,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-28,3,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-29,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-30,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-10-31,5,1.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-01,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-02,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-03,7,2.33333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-04,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-05,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-06,4,1.33333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-07,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-08,8,2.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-09,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-10,5,1.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-11,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-12,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-13,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-14,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-15,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-16,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-17,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-18,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-19,6,2,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-20,3,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-21,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-22,4,1.33333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-23,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-25,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-26,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-27,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-28,4,1.33333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-29,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-11-30,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-01,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-02,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-03,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-04,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-05,3,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-06,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-07,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-08,5,1.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-09,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-10,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-11,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-12,3,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-13,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-14,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-15,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-16,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-17,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-18,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-19,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-20,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-21,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-22,5,1.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-23,2,0.666666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-25,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-26,8,2.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-27,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-28,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-29,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-30,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-12-31,1,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-01,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-02,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-03,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-04,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-05,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-06,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-07,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-08,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-09,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-10,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-11,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-12,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-13,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-14,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-15,2,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-16,1,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-17,9,3,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-18,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-19,5,1.66666666666667,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-20,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-21,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-22,6,2,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-23,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-25,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-26,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-27,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-28,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-29,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-30,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-01-31,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-01,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-02,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-03,3,0.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-04,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-05,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-06,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-07,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-08,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-09,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-10,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-11,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-12,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-13,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-14,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-15,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-16,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-17,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-18,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-19,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-20,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-21,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-22,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-23,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-25,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-26,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-27,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-02-28,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-01,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-02,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-03,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-04,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-05,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-06,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-07,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-08,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-09,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-10,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-11,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-12,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-13,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-14,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-15,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-16,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-17,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-18,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-19,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-20,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-21,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-22,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-23,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-24,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-25,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-26,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-27,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-28,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-29,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-30,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-03-31,2,0.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-01,7,1.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-02,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-03,3,0.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-04,5,1.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-05,1,0.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-06,8,2,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-07,9,2.25,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-08,4,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-09,3,0.75,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-10,4,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-11,1,0.333333333333333,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-12,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-13,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-14,7,3.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-15,2,1,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-16,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-17,5,2.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-18,6,3,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-19,3,1.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-20,5,2.5,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-21,4,2,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-22,0,0,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2022-04-23,2,2,"White-tailed Deer","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-20,0,0,"Eastern Gray Squirrel","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-21,0,0,"Eastern Gray Squirrel","Regional",">1000ac","No"
"Alvin G. Beaman Park",2021-07-22,0,0,"Eastern Gray Squirrel","Regional",">1000ac","No"
